column_name	definition	logical_type	physical_type	nullable	key_role	controlled_vocabulary	missing_value_semantics	unit	source_or_curated	derivation	example	ml_utility	ml_leakage_risk	nonempty_count	row_count
accession	Unversioned GenBank/INSDC accession.	identifier	string	FALSE	natural key (unversioned)		never missing		source	record.id split on '.'	AY184219	grouping / dedup key; not a feature	high: memorizable record identity	24301	24301
version	Exact accession.version; the canonical primary key.	identifier	string	FALSE	primary key		never missing		source	record.id	AY184219.1	row key; not a feature	high: memorizable record identity	24301	24301
sequence_sha256	SHA-256 of the uppercased ungapped nucleotide sequence.	hash	string	FALSE	content hash; FK to source.records.sequence_sha256		never missing		source	sha256(str(record.seq).upper())	9f86d0…	exact-duplicate detection	high: uniquely identifies the sequence	24301	24301
sequence_length_nt	Sequence length in nucleotides.	integer	int64	FALSE			never missing	nucleotides	source	len(record.seq)	7440	coverage/completeness feature	low	24301	24301
sequence_scope	Normalized genomic region the record covers. POLIOVIRUS ONLY -- the upstream record_type is derived against Sabin VP1 coordinates, so no scope determination exists for non-polio EV.	categorical	string	FALSE		sequence_scope	'unknown' for every non_polio_enterovirus row (not determined) and for an unmapped polio record_type		curated	mapped from pipeline record_type for poliovirus; 'unknown' otherwise (R-SCOPE-1)	vp1_complete	stratification / region feature; usable only within the poliovirus partition	low	24301	24301
ncbi_taxid	NCBI Taxonomy identifier from the source feature.	identifier	string	TRUE	FK to NCBI Taxonomy		blank when no taxon db_xref		source	source /db_xref=taxon:*	12081	taxonomy feature	medium: may encode the label for typed viruses	24301	24301
organism_name	Submitted GenBank organism name.	text	string	TRUE			blank when absent		source	annotations.organism	Human poliovirus 1	text feature	high: often contains the type/serotype label verbatim	24301	24301
virus_group	Canonical mutually-exclusive partition.	categorical	string	FALSE		virus_group	never missing for included rows		curated	dataset_partition (R-PARTITION-1)	poliovirus	top-level class	label if predicting group	24301	24301
virus_type	Unified canonical type: PV{1,2,3} for polio; enterovirus type for non-polio EV (name-derived, else confident sequence-derived).	categorical	string	TRUE			blank when neither name nor confident well-covered sequence type is available; for polio this means no coverage-guarded serotype could be resolved		curated	R-TYPE-1; polio via the coverage-guarded build_final_carve.canonical_serotype (>=100 capsid codons, confident, VP1==capsid) shared with the v1 carve; EV precedence name -> confident enterovirus_type_sequence (basis in canonical_projection_provenance)	PV1 / EV-A71	type/serotype label	label if predicting type	23399	24301
poliovirus_classification	GPLN epidemiologic lineage class (poliovirus only).	categorical	string	TRUE		poliovirus_classification	blank for non-polio rows		curated	classification_reconciled (R-CLASS-1)	Sabin-like	epidemiologic label	label if predicting classification; derived partly from sequence	10084	24301
curation_status	Release confidence tier.	categorical	string	FALSE		curation_status	never missing for included rows		curated	poliovirus->vouched, non-polio EV->provisional (R-STATUS-1)	vouched	quality filter	low	24301	24301
isolate_name	Submitted isolate identifier.	text	string	TRUE			blank when absent		source	source /isolate	P1/Nigeria/…	linkage / weak geo-temporal signal	medium: can encode location/date/lineage	17222	24301
strain_name	Submitted strain identifier.	text	string	TRUE			blank when absent		source	source /strain	Sabin 1	linkage feature	high: often names the reference/lineage	7943	24301
host_name	Submitted host value.	text	string	TRUE			blank when absent		source	source /host	Homo sapiens	host feature	low	17460	24301
sample_origin	Normalized origin class.	categorical	string	TRUE			blank when not curated		curated	origin_class	human	stratification	low	24301	24301
surveillance_stream	Normalized surveillance / sampling frame.	categorical	string	TRUE			blank when not curated		curated	sampling_frame	AFP	sampling-bias control	medium: correlated with classification via surveillance context	24301	24301
specimen_type	Normalized specimen type.	categorical	string	TRUE			blank when not curated		curated	specimen_type	stool	stratification	low	17818	24301
collection_date	Collection date as a single point value, always ISO 8601 and always parseable: YYYY, YYYY-MM, or YYYY-MM-DD. Read WITH collection_date_precision -- when precision == 'range' this is a derived midpoint, not a measured date, and collection_year_earliest/latest carry the true bounds.	date	string	TRUE			blank iff collection_date_precision == 'unknown'	ISO 8601	curated	precision-driven, curated-first (R-DATE-1): day->collection_date_curated, month->source date normalized to YYYY-MM, year->collection_year_curated, range->collection_year_curated (the R-DATE-RANGE-1 midpoint)	2007-05	temporal feature; parse directly, no interval or Mon-YYYY strings	medium: date strongly correlates with lineage era	21496	24301
collection_date_precision	Precision of collection_date.	categorical	string	FALSE		collection_date_precision	'unknown' when precision not determinable or the date is absent; never blank for included rows		curated	collection_date_precision (R-DATE-PRECISION-1); 'range' means collection_date is a midpoint and the bounds are in collection_year_earliest/latest	month	date-quality feature	low	24301	24301
collection_year_earliest	Earliest possible collection year for an interval /collection_date. Populated IFF collection_date_precision == 'range'.	integer	string	TRUE			blank on every non-range row	year	curated	first endpoint year of the GenBank interval (R-DATE-RANGE-1)	1945	date-uncertainty bound	low	121	24301
collection_year_latest	Latest possible collection year for an interval /collection_date. Populated IFF collection_date_precision == 'range'.	integer	string	TRUE			blank on every non-range row	year	curated	second endpoint year of the GenBank interval (R-DATE-RANGE-1)	1955	date-uncertainty bound	low	121	24301
