legacy_row,legacy_accession,legacy_title,legacy_pubmed,match_methods,matched_accessions,matched_count,bridge_status,possibleClassifications,possibleSamplingFrames,discard,reason,notes
2,A01868,DNA FRAGMENTS CARRYING PORTIONS OF GENETIC INFORMATION OF :POLIOVIRUS_ PARTICULARLY OF THE PV1 TYPE_ AND METHOD FOR OBTAINING:THEM :,,accession,A01868,1,single_exact_match,,,yes,patent;fragment,
3,A03852,POLYPEPTIDES USEFUL IN VACCINATION AGAINST ENTEROVIRUSES:,,accession,A03852,1,single_exact_match,,,yes,patent;fragment,
4,A07272,Attenuated viruses:,,accession,A07272,1,single_exact_match,,,yes,patent;fragment,
5,A09260,Peptides useful in vaccination against enteroviruses:,,accession,A09260,1,single_exact_match,,,yes,patent;fragment,
6,A37539,MULTICISTRONIC EXPRESSION UNITS AND THEIR USE:,,accession,A37539,1,single_exact_match,,,yes,patent;fragment,
7,A37564,PRODUCTION OF HETERODIMER PDGF-AB BY MEANS OF A BICISTRONIC VECTOR:SYSTEM IN MAMMALIAN CELLS :,,accession,A37564,1,single_exact_match,,,yes,patent;fragment,
8,AB054212,Two major strains of type 1 wild poliovirus circulating in:Indochina :,9129093,accession;pubmed,AB052561;AB052562;AB052563;AB052564;AB052565;AB053575;AB053576;AB053577;AB053578;AB053579;AB053580;AB053581;AB053582;AB053583;AB053584;AB053585;AB053586;AB053587;AB053588;AB053589;AB053590;AB053591;AB053592;AB053593;AB053594;AB053595;AB053596;AB053597;AB053598;AB053599;AB053600;AB053601;AB053602;AB053603;AB053604;AB053956;AB053957;AB053958;AB053959;AB053960;AB053961;AB053962;AB053963;AB053964;AB053965;AB054069;AB054070;AB054071;AB054072;AB054073;AB054074;AB054075;AB054076;AB054077;AB054078;AB054079;AB054080;AB054081;AB054082;AB054189;AB054190;AB054191;AB054192;AB054193;AB054194;AB054195;AB054196;AB054197;AB054198;AB054199;AB054200;AB054201;AB054202;AB054203;AB054204;AB054205;AB054206;AB054207;AB054208;AB054209;AB054210;AB054211;AB054212,83,multiple_exact_matches,wild,AFP,,,
9,AB060337,Circulation of type 1 wild poliovirus in northern Vietnam during:1991-1994 :,8940986,accession;pubmed,AB060337,1,single_exact_match,wild,AFP,,,
10,AB061280,Assessment of poliovirus eradication in Japan: genomic analysis of:polioviruses isolated from river water and sewage in toyama :prefecture :,11055968,accession;pubmed,AB061279;AB061280;AB061281;AB061282;AB061283;AB061284;AB061285;AB061286;AB061287;AB061288;AB061289;AB061290;AB061291;AB061292;AB061293;AB061294;AB061295;AB061296;AB061297;AB061298;AB061299;AB061300;AB061301;AB061302;AB061303;AB061304;AB061348;AB061349;AB061350;AB061351;AB061352;AB061353;AB061354;AB061355,34,multiple_exact_matches,vaccineOrigin,environmental,,,
11,AB111515,Phylogenetic diagnosis of polioviruses and other enteroviruses :isolated in Turkey during 1994 and 1999 by use of the VP4 sequence:,,accession,AB111515,1,single_exact_match,wild;vaccineOrigin,AFP,,,
12,AB111826,Phylogenetic analysis of wild type 1 polioviruses isolated at the:latest period of transmission in Turkey :,,accession,AB111826,1,single_exact_match,wild,AFP,,,
13,AB162761,sequence of enterovirus:,,accession,AB162761,1,single_exact_match,vaccineOrigin,AFP-throat;AFP:,,,
14,AB180073,Circulation of type 1 vaccine-derived poliovirus in the Philippines:in 2001 :,15564462,accession;pubmed,AB180058;AB180059;AB180060;AB180061;AB180062;AB180063;AB180064;AB180065;AB180066;AB180067;AB180068;AB180069;AB180070;AB180071;AB180072;AB180073,16,multiple_exact_matches,cVDPV;wild,AFP,,,
15,AB282824,[Influence of genome extraction kits on enterovirus detection using:RT-PCR] :,18306682,accession;pubmed,AB282824,1,single_exact_match,unknown,AFP,,isolate follows EPID naming structure,
16,AB467771,Shedding of vaccine viruses with increased antigenic and genetic:divergence after vaccination of newborns with monovalent type 1 :oral poliovirus vaccine :,19515771,accession;pubmed,AB467375;AB467376;AB467377;AB467378;AB467379;AB467380;AB467381;AB467382;AB467383;AB467384;AB467385;AB467386;AB467387;AB467388;AB467389;AB467390;AB467391;AB467392;AB467393;AB467394;AB467395;AB467396;AB467397;AB467398;AB467399;AB467400;AB467401;AB467402;AB467403;AB467404;AB467405;AB467406;AB467407;AB467408;AB467409;AB467410;AB467411;AB467412;AB467413;AB467414;AB467415;AB467416;AB467417;AB467418;AB467419;AB467420;AB467421;AB467422;AB467423;AB467424;AB467425;AB467426;AB467427;AB467428;AB467429;AB467430;AB467431;AB467432;AB467433;AB467434;AB467435;AB467436;AB467437;AB467438;AB467439;AB467440;AB467441;AB467442;AB467443;AB467444;AB467445;AB467446;AB467447;AB467448;AB467449;AB467450;AB467451;AB467452;AB467453;AB467454;AB467455;AB467456;AB467457;AB467458;AB467459;AB467460;AB467461;AB467462;AB467463;AB467464;AB467465;AB467466;AB467467;AB467468;AB467469;AB467470;AB467471;AB467472;AB467473;AB467474;AB467475;AB467476;AB467477;AB467478;AB467479;AB467480;AB467481;AB467482;AB467483;AB467484;AB467485;AB467486;AB467487;AB467488;AB467489;AB467490;AB467491;AB467492;AB467493;AB467494;AB467495;AB467496;AB467497;AB467498;AB467499;AB467500;AB467501;AB467502;AB467503;AB467504;AB467505;AB467506;AB467507;AB467508;AB467509;AB467510;AB467511;AB467512;AB467513;AB467514;AB467515;AB467516;AB467517;AB467518;AB467519;AB467520;AB467521;AB467522;AB467523;AB467524;AB467525;AB467526;AB467527;AB467528;AB467529;AB467530;AB467531;AB467532;AB467533;AB467534;AB467535;AB467536;AB467537;AB467538;AB467539;AB467540;AB467541;AB467542;AB467543;AB467544;AB467545;AB467546;AB467547;AB467548;AB467549;AB467550;AB467551;AB467552;AB467553;AB467554;AB467555;AB467556;AB467557;AB467558;AB467559;AB467560;AB467561;AB467562;AB467563;AB467564;AB467565;AB467566;AB467567;AB467568;AB467569;AB467570;AB467571;AB467572;AB467573;AB467574;AB467575;AB467576;AB467577;AB467578;AB467579;AB467580;AB467581;AB467582;AB467583;AB467584;AB467585;AB467586;AB467587;AB467588;AB467589;AB467590;AB467591;AB467592;AB467593;AB467594;AB467595;AB467596;AB467597;AB467598;AB467599;AB467600;AB467601;AB467602;AB467603;AB467604;AB467605;AB467606;AB467607;AB467608;AB467609;AB467610;AB467611;AB467612;AB467613;AB467614;AB467615;AB467616;AB467617;AB467618;AB467619;AB467620;AB467621;AB467622;AB467623;AB467624;AB467625;AB467626;AB467627;AB467628;AB467629;AB467630;AB467631;AB467632;AB467633;AB467634;AB467635;AB467636;AB467637;AB467638;AB467639;AB467640;AB467641;AB467642;AB467643;AB467644;AB467645;AB467646;AB467647;AB467648;AB467649;AB467650;AB467651;AB467652;AB467653;AB467654;AB467655;AB467656;AB467657;AB467658;AB467659;AB467660;AB467661;AB467662;AB467663;AB467664;AB467665;AB467666;AB467667;AB467668;AB467669;AB467670;AB467671;AB467672;AB467673;AB467674;AB467675;AB467676;AB467677;AB467678;AB467679;AB467680;AB467681;AB467682;AB467683;AB467684;AB467685;AB467686;AB467687;AB467688;AB467689;AB467690;AB467691;AB467692;AB467693;AB467694;AB467695;AB467696;AB467697;AB467698;AB467699;AB467700;AB467701;AB467702;AB467703;AB467704;AB467705;AB467706;AB467707;AB467708;AB467709;AB467710;AB467711;AB467712;AB467713;AB467714;AB467715;AB467716;AB467717;AB467718;AB467719;AB467720;AB467721;AB467722;AB467723;AB467724;AB467725;AB467726;AB467727;AB467728;AB467729;AB467730;AB467731;AB467732;AB467733;AB467734;AB467735;AB467736;AB467737;AB467738;AB467739;AB467740;AB467741;AB467742;AB467743;AB467744;AB467745;AB467746;AB467747;AB467748;AB467749;AB467750;AB467751;AB467752;AB467753;AB467754;AB467755;AB467756;AB467757;AB467758;AB467759;AB467760;AB467761;AB467762;AB467763;AB467764;AB467765;AB467766;AB467767;AB467768;AB467769;AB467770;AB467771;AB467772;AB467773;AB467774;AB467775;AB467776;AB467777;AB467778;AB467779;AB467780;AB467781;AB467782;AB467783;AB467784;AB467785;AB467786;AB467787;AB467788;AB467789;AB467790;AB467791;AB467792;AB467793;AB467794;AB467795;AB467796;AB467797;AB467798;AB467799;AB467800;AB467801;AB467802;AB467803;AB467804;AB467805;AB467806;AB467807;AB467808;AB467809;AB467810;AB467811;AB467812;AB467813;AB467814;AB467815;AB467816;AB467817;AB467818;AB467819;AB467820;AB467821;AB467822;AB467823;AB467824;AB467825;AB467826;AB467827;AB467828;AB467829;AB467830;AB467831;AB467832;AB467833;AB467834;AB467835;AB467836;AB467837;AB467838;AB467839;AB467840;AB467841;AB467842;AB467843;AB467844;AB467845;AB467846;AB467847;AB467848;AB467849;AB467850;AB467851;AB467852;AB467853;AB467854;AB467855;AB467856;AB467857;AB467858;AB467859;AB467860;AB467861;AB467862;AB467863;AB467864;AB467865;AB467866;AB467867,493,multiple_exact_matches,SabinLike,healthy,,,
17,AB629955,Development of real-time PCR to detect oral vaccine-like poliovirus:and its application to environmental surveillance :,24134937,accession;pubmed,AB629948;AB629949;AB629950;AB629951;AB629952;AB629953;AB629954;AB629955,8,multiple_exact_matches,unknown,environmental;healthy,,,
18,AB739059,Molecular typing of human enteroviruses from healthy children in:Yunnan province_ 2011 :,,accession,AB739059,1,single_exact_match,unknown,healthy,,,
19,AB781741,Molecular typing of human enteroviruses from healthy children in:Yunnan province_ 2012 (part 2) :,,accession,AB781741,1,single_exact_match,unknown,healthy,,,
20,AB794138,Molecular typing of enteroviruses in Yuxi city_Yunnan:province_China_2011(part 1) :,,accession,AB794138,1,single_exact_match,unknown,unknownStool,,,
21,AB813054,Molecular typing of enteroviruses in Yuxi city_ Yunnan province_:China_ 2011(part 2) :,,accession,AB813054,1,single_exact_match,unknown,unknownStool,,,
22,AB861646,Molecular typing of enteroviruses from healthy Children_ Yunnan:Province_ China_ 2013 :,,accession,AB861646,1,single_exact_match,unknown,healthy,,,
23,AB976096,Molecular typing of enteroviruses isolated from sewage samples_:Yunnan province_ China_ 2013 :,,accession,AB976096,1,single_exact_match,unknown,environmental,,,
