seqname,paper,context,classification,samplingFrame,legacy_year_approx,collection_date,genbank_collection_date_parsed,genbank_collection_year,genbank_collection_date_precision,geo_loc_name,country,genbank_location,isolation_source,id_inferred_year,id_inferred_location,id_inferred_admin1,id_inferred_admin2,id_inferred_sampling_frame,id_rule_type,id_rule_evidence,best_collection_year,best_location
KF537633,"Complete genome sequence of the last representative genotype ofwild indigenous poliovirus type 1, which circulated in Brazil",Last WPV1 in Brazil 1988,wild,AFP,1988-05-01,1988,,1988,year,Brazil,,Brazil,paralytic polio case,1988,Brazil,Pe,,,country_admin_slash_year,BRA-PE/88,1988,Brazil
KX162709,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2011-05-01,18-Sep-2011,2011-09-18,2011,day,Nigeria,,Nigeria,stool,2011,Niger,,,,country_year_case,NIE1116623,2011,Nigeria
KX162708,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2011-05-01,04-Sep-2011,2011-09-04,2011,day,Nigeria,,Nigeria,stool,2011,Niger,,,,country_year_case,NIE1116622,2011,Nigeria
KX162695,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2014-05-01,29-Apr-2014,2014-04-29,2014,day,Equatorial Guinea,,Equatorial Guinea,stool,,,,,,,,2014,Equatorial Guinea
KX162693,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2014-05-01,24-Mar-2014,2014-03-24,2014,day,Equatorial Guinea,,Equatorial Guinea,stool,,,,,,,,2014,Equatorial Guinea
KX162692,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2014-05-01,09-Feb-2014,2014-02-09,2014,day,Equatorial Guinea,,Equatorial Guinea,stool,,,,,,,,2014,Equatorial Guinea
KX162691,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2014-05-01,02-Jun-2014,2014-06-02,2014,day,Equatorial Guinea,,Equatorial Guinea,stool,,,,,,,,2014,Equatorial Guinea
KX162684,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2012-05-01,23-Jun-2012,2012-06-23,2012,day,Chad,,Chad,stool,2012,Chad,,,,country_year_case,CHA1218878,2012,Chad
KX162683,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2011-05-01,25-Nov-2011,2011-11-25,2011,day,Chad,,Chad,stool,2011,Chad,,,,country_year_case,CHA1119341,2011,Chad
KX162682,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2011-05-01,11-Oct-2011,2011-10-11,2011,day,Central African Republic,,Central African Republic,stool,2020,Central African Republic,,,,country_year_case,CAF2019340,2011,Central African Republic
KX162681,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2014-05-01,16-Feb-2014,2014-02-16,2014,day,Cameroon,,Cameroon,stool,2014,Cameroon,,,,country_year_case,CAE1419305,2014,Cameroon
KX162680,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2014-05-01,02-Feb-2014,2014-02-02,2014,day,Cameroon,,Cameroon,stool,2014,Cameroon,,,,country_year_case,CAE1419304,2014,Cameroon
KX162679,High-Throughput Next Generation Sequencing of Polioviruses,AFRO 2010-2014,wild,AFP,2014-05-01,23-Jan-2014,2014-01-23,2014,day,Cameroon,,Cameroon,stool,2014,Cameroon,,,,country_year_case,CAE1419303,2014,Cameroon
AF111953,Distribution of wild type 1 poliovirus genotypes in China,China 1989-1991,wild,AFP,1991-05-01,,,,unknown,China,,China,,1991,China,Hebei,,,country_admin_slash_year,CHN-HEBEI/91-2,1991,China
KU161399,Environmental surveillance of viruses by tangential flow filtrationand metagenomic reconstruction,Pak 2013,wild,environmental,2013-05-01,09-Jun-2013,2013-06-09,2013,day,Pakistan: Islamabad,,Pakistan: Islamabad,sewage,2011,Pakistan: Islamabad,,,,geo_loc_slash_or_dash_year,PAK-11,2013,Pakistan: Islamabad
KU161398,Environmental surveillance of viruses by tangential flow filtrationand metagenomic reconstruction,Pak 2013,wild,environmental,2013-05-01,09-Jun-2013,2013-06-09,2013,day,Pakistan: Islamabad,,Pakistan: Islamabad,sewage,2012,Pakistan: Islamabad,,,,geo_loc_slash_or_dash_year,PAK-12,2013,Pakistan: Islamabad
KU161397,Environmental surveillance of viruses by tangential flow filtrationand metagenomic reconstruction,Pak 2013,wild,environmental,2013-05-01,09-Jun-2013,2013-06-09,2013,day,Pakistan: Islamabad,,Pakistan: Islamabad,sewage,,,,,,,,2013,Pakistan: Islamabad
KU161396,Environmental surveillance of viruses by tangential flow filtrationand metagenomic reconstruction,Pak 2013,wild,environmental,2013-05-01,09-Jun-2013,2013-06-09,2013,day,Pakistan: Islamabad,,Pakistan: Islamabad,sewage,,,,,,,,2013,Pakistan: Islamabad
KU161395,Environmental surveillance of viruses by tangential flow filtrationand metagenomic reconstruction,Pak 2013,wild,environmental,2013-05-01,09-Jun-2013,2013-06-09,2013,day,Pakistan: Islamabad,,Pakistan: Islamabad,sewage,,,,,,,,2013,Pakistan: Islamabad
KJ019833,"Genetic analysis and characterization of wild poliovirus type 1during sustained transmission in a population with >95% vaccinecoverage, Israel 2013",Israel 2013,wild,environmental,2013-05-01,2013,,2013,year,Israel,,Israel,,2013,Israel,,,,country_year_case,ISR1318574,2013,Israel
KJ019832,"Genetic analysis and characterization of wild poliovirus type 1during sustained transmission in a population with >95% vaccinecoverage, Israel 2013",Israel 2013,wild,environmental,2013-05-01,2013,,2013,year,Israel,,Israel,,2013,Israel,,,,country_year_case,ISR1318573,2013,Israel
KJ019831,"Genetic analysis and characterization of wild poliovirus type 1during sustained transmission in a population with >95% vaccinecoverage, Israel 2013",Israel 2013,wild,environmental,2013-05-01,2013,,2013,year,Israel,,Israel,,2013,Israel,,,,country_year_case,ISR1318572,2013,Israel
JF838278,Robustness against serum neutralization of a poliovirus type 1 froma lethal epidemic of poliomyelitis in the Republic of Congo in 2010,Republic of Congo 2010,wild,AFP,2010-05-01,2010,,2010,year,Republic of the Congo,,Republic of the Congo,,,,,,,,,2010,Republic of the Congo
KJ155500,"Molecular epidemiology of silent introduction and sustainedtransmission of wild poliovirus type 1, Israel, 2013",Israel and Egypt 2012-2013,wild,environmental,2012-05-01,2012,,2012,year,Egypt,,Egypt,,2012,Egypt,,,,country_year_case,EGY1218586,2012,Egypt
