legacy_row,accession,title,pubmed,possibleClassifications,classificationKeyValuePairs,possibleSamplingFrames,samplingFrameKeyValuePairs,discard,reason,notes,curation_source
2,A01868,DNA FRAGMENTS CARRYING PORTIONS OF GENETIC INFORMATION OF :POLIOVIRUS_ PARTICULARLY OF THE PV1 TYPE_ AND METHOD FOR OBTAINING:THEM :,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
3,A03852,POLYPEPTIDES USEFUL IN VACCINATION AGAINST ENTEROVIRUSES:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
4,A07272,Attenuated viruses:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
5,A09260,Peptides useful in vaccination against enteroviruses:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
6,A37539,MULTICISTRONIC EXPRESSION UNITS AND THEIR USE:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
7,A37564,PRODUCTION OF HETERODIMER PDGF-AB BY MEANS OF A BICISTRONIC VECTOR:SYSTEM IN MAMMALIAN CELLS :,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
8,AB054212,Two major strains of type 1 wild poliovirus circulating in:Indochina :,9129093,wild,"wild:""wild poliovirus""",AFP,,,,,legacy_excel_title_key_table
9,AB060337,Circulation of type 1 wild poliovirus in northern Vietnam during:1991-1994 :,8940986,wild,"wild:""wild poliovirus""",AFP,,,,,legacy_excel_title_key_table
10,AB061280,Assessment of poliovirus eradication in Japan: genomic analysis of:polioviruses isolated from river water and sewage in toyama :prefecture :,11055968,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
11,AB111515,Phylogenetic diagnosis of polioviruses and other enteroviruses :isolated in Turkey during 1994 and 1999 by use of the VP4 sequence:,,wild;vaccineOrigin,"vaccineOrigin:""Ankara/21/96"";wild:",AFP,,,,,legacy_excel_title_key_table
12,AB111826,Phylogenetic analysis of wild type 1 polioviruses isolated at the:latest period of transmission in Turkey :,,wild,wild:wild,AFP,,,,,legacy_excel_title_key_table
