serotype	ref_accession	region	start	end	length
PV1	AY184219	5UTR	1	742	742
PV1	AY184219	VP4	743	949	207
PV1	AY184219	VP2	950	1765	816
PV1	AY184219	VP3	1766	2479	714
PV1	AY184219	VP1	2480	3385	906
PV1	AY184219	2A	3386	3832	447
PV1	AY184219	2B	3833	4123	291
PV1	AY184219	2C	4124	5110	987
PV1	AY184219	3A	5111	5371	261
PV1	AY184219	3B	5372	5437	66
PV1	AY184219	3C	5438	5986	549
PV1	AY184219	3D	5987	7372	1386
PV1	AY184219	3UTR	7373	7441	69
PV2	AY184220	5UTR	1	747	747
PV2	AY184220	VP4	748	954	207
PV2	AY184220	VP2	955	1767	813
PV2	AY184220	VP3	1768	2481	714
PV2	AY184220	VP1	2482	3384	903
PV2	AY184220	2A	3385	3831	447
PV2	AY184220	2B	3832	4122	291
PV2	AY184220	2C	4123	5109	987
PV2	AY184220	3A	5110	5370	261
PV2	AY184220	3B	5371	5436	66
PV2	AY184220	3C	5437	5985	549
PV2	AY184220	3D	5986	7371	1386
PV2	AY184220	3UTR	7372	7439	68
PV3	AY184221	5UTR	1	742	742
PV3	AY184221	VP4	743	949	207
PV3	AY184221	VP2	950	1762	813
PV3	AY184221	VP3	1763	2476	714
PV3	AY184221	VP1	2477	3376	900
PV3	AY184221	2A	3377	3823	447
PV3	AY184221	2B	3824	4114	291
PV3	AY184221	2C	4115	5101	987
PV3	AY184221	3A	5102	5362	261
PV3	AY184221	3B	5363	5428	66
PV3	AY184221	3C	5429	5977	549
PV3	AY184221	3D	5978	7363	1386
PV3	AY184221	3UTR	7364	7432	69
