queue_id	canonical_field	registry_field	winning_rule_id	unresolved_reason	group_key	record_count	example_versions	suggested_resolution_kind
Q-00edaaeebccc	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	child with acute flaccid paralysis	2	EF127240.1 EF127251.1	rule_parameter
Q-02daaceaf546	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	case of meningitis	2	DQ264251.1 DQ264322.1	rule_parameter
Q-042ddb8d4af0	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	faecal sample	1	AJ544513.1	decision
Q-05e9e85744d2	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Human Enterovirus Pune6-03	1	AY942641.1	decision
Q-07e3fa7560c1	poliovirus_classification	poliovirus_classification	R-CLASS-2	no_serotype_in_organism_name_to_choose_a_reference	Human poliovirus 78/ROU/2008	2	FR715541.1 FR715555.1	decision
Q-0804a4cadfb6	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	1.4-year-old female patient with acute flaccid paralysis (AFP)	1	HM107832.1	rule_parameter
Q-0838bd66920b	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Echovirus	4	MF993354.1 MF993355.1 MF993356.1	decision
Q-086a63c916d4	virus_group	is_poliovirus	R-PARTITION-1	organism_name_does_not_determine_membership	synthetic construct	13	A06086.1 A06087.1 A08076.1	decision
Q-08805d4303e0	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	liver	1	MN896915.1	rule_parameter
Q-08c90fafc4c2	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	stool sample	5	KF177119.1 KF177120.1 KU763188.1	decision
Q-0955a14ea1fe	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	skin	2	MN896930.1 MN896932.1	rule_parameter
Q-0a279882d40f	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	conjunctival swab from AHC patient	90	GU983170.1 GU983171.1 GU983172.1	rule_parameter
Q-0a843f667043	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	1.8-year-old male patient with acute flaccid paralysis (AFP)	1	HM107834.1	rule_parameter
Q-0bef1b3fd950	virus_type	virus_type	R-TYPE-2	curated_type_is_unknown	non-polio enterovirus	14	JX181922.1 KC787116.2 KC787124.2	decision
Q-0d65e2f8d898	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Human rhinovirus 1A	5	MF160570.1 MF160643.1 MF160644.1	decision
Q-0ecde258c137	surveillance_stream	surveillance_stream	R-SURVEILLANCE-2	no_surveillance_context_in_record	csf	1	KM433732.1	decision
Q-0fed5b4675cd	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Human poliovirus 30/ROU/2008	2	FR715534.1 FR715548.1	decision
Q-1042eee82dc7	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Acute flaccid paralysis case	43	AB206334.1 AB206335.1 AB206336.1	rule_parameter
Q-1261672515ff	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	liquor	2	FN298959.1 FN298960.1	rule_parameter
Q-12e037e1cae3	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	TW	1	MN245993.1	rule_parameter
Q-13ab4d3847cc	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	case of acute intestinal infection	16	DQ264261.1 DQ264272.1 DQ264280.1	rule_parameter
Q-16ebfa5718ce	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	patient with hand-foot-mouth disease	1	PP579970.1	rule_parameter
Q-18ac52d28a6d	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	healthy child	14	AY189866.1 MG212434.1 MG212435.1	rule_parameter
Q-18b225e18eb5	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	enterovirus J103	1	FJ007373.1	decision
Q-18e415fd30d3	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	healthy child	1	AY189866.1	decision
Q-18e6f6491dae	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	OPV	23	KP116077.1 KP116078.1 KP116079.1	rule_parameter
Q-19d456fc917a	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	conjunctivitis eye swab	7	OQ909107.1 OQ909108.1 OQ909109.1	rule_parameter
Q-1c2bfdf0e84b	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	SE	1	MN259120.1	rule_parameter
Q-1eaf991ce98f	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	urine	1	PV036968.1	rule_parameter
Q-1f65bcb62da9	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	immunocompromised patient	17	EU566934.1 EU566935.1 EU566936.1	rule_parameter
Q-1fdc06d8a6d6	sample_origin	origin_class	R-ORIGIN-2	no_host_or_specimen_evidence	case of acute respiratory disease	2	DQ264260.1 DQ264331.1	decision
Q-20507416274a	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	asymptomtic shedder	2	KP004228.1 KP004229.1	rule_parameter
Q-256794afc7f6	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Human poliovirus 84/ROU/2008	2	FR715543.1 FR715557.1	decision
Q-261606b4ddf8	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	Rahat North Trunk Line	1	KJ013448.1	rule_parameter
Q-2627f56df8be	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	Simian agent 5	1	AF326751.2	decision
Q-26e476b9c2da	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	NS	1	MN246006.1	rule_parameter
Q-27135099370f	virus_type	virus_type	R-TYPE-2	organism_name_states_no_type	enterovirus J1	1	AF326766.2	decision
Q-286a2bc4f24d	specimen_type	specimen_type	R-SPECIMEN-2	no_specimen_keyword_in_isolation_source	whole cell lysate	14	DQ787783.1 DQ787784.1 DQ787785.1	rule_parameter
