version	accession	release_classification	built_classification	unresolved_reason	virus_type	country	collection_date
AB053583.1	AB053583	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AB053590.1	AB053590	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053591.1	AB053591	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053592.1	AB053592	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053593.1	AB053593	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053594.1	AB053594	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053595.1	AB053595	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053596.1	AB053596	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053597.1	AB053597	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053598.1	AB053598	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053599.1	AB053599	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053600.1	AB053600	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053601.1	AB053601	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053602.1	AB053602	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053603.1	AB053603	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053604.1	AB053604	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053956.1	AB053956	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053957.1	AB053957	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053958.1	AB053958	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053959.1	AB053959	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053960.1	AB053960	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB053961.1	AB053961	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053962.1	AB053962	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053963.1	AB053963	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053964.1	AB053964	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB053965.1	AB053965	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB054069.1	AB054069	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1993
AB054070.1	AB054070	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1994
AB054071.1	AB054071	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1994
AB054072.1	AB054072	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1994
AB054074.1	AB054074	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054075.1	AB054075	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054076.1	AB054076	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054077.1	AB054077	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
AB054078.1	AB054078	wild		too_little_vp1_compared_to_measure_divergence	PV1	Viet Nam	1992
