decision_id	decision_type	subject_key	accession	field_name	new_value	reason	evidence_reference	confirmed_by	source_artifact	status	effective_from	effective_through	notes
D-8cd0d384665b	canonical_reference_confirmation	AJ293918	AJ293918	canonical_reference	TRUE	Czechoslovak independent live-attenuated PV3 vaccine strain (USOL D-bac); complete genome AJ293918 canonical; D00259 is a 5-prime UTR fragment (non-canonical); classified vaccine (the sequence classifier reads 22% from Sabin3 as wild because it is an independent attenuated lineage, not Sabin-derived).		Mike	canonical_reference_confirmed.csv	active			reference_label=USOL-D-bac; serotype=3
D-af0b74c58bfa	canonical_reference_confirmation	AJ416942	AJ416942	canonical_reference	TRUE	canonical CHAT; AY082686 is VP1-only		Mike	canonical_reference_confirmed.csv	active			reference_label=CHAT; serotype=1
D-95e6de97b1f1	canonical_reference_confirmation	AY082681	AY082681	canonical_reference	TRUE	canonical Fox3 vaccine reference (Korean Waterworks Research Institute, 2003); SWAPPED 2026-07-27 from AY359875 (612nt partial capsid fragment, 145 codons) to AY082681 (900nt full VP1, 300 codons) -- more complete deposit, same precedent as the Mahoney whole-genome canonical pick. AY359875 remains a confirmed non-canonical Fox-family sibling.		Mike	canonical_reference_confirmed.csv	active			reference_label=Fox; serotype=3
D-09037df27f87	canonical_reference_confirmation	AY184219	AY184219	canonical_reference	TRUE	canonical Sabin1		Mike	canonical_reference_confirmed.csv	active			reference_label=Sabin1; serotype=1
D-6ffdfd6ae081	canonical_reference_confirmation	AY184220	AY184220	canonical_reference	TRUE	canonical Sabin2		Mike	canonical_reference_confirmed.csv	active			reference_label=Sabin2; serotype=2
D-b136e2e2e907	canonical_reference_confirmation	AY184221	AY184221	canonical_reference	TRUE	canonical Sabin3		Mike	canonical_reference_confirmed.csv	active			reference_label=Sabin3; serotype=3
D-e855513e8e87	canonical_reference_confirmation	AY238473	AY238473	canonical_reference	TRUE	AJ288078/AY082677 non-canonical		Mike	canonical_reference_confirmed.csv	active			reference_label=MEF1; serotype=2
D-9e3deb18cb7c	canonical_reference_confirmation	AY560657	AY560657	canonical_reference	TRUE	AY082690 is VP1-only		Mike	canonical_reference_confirmed.csv	active			reference_label=Brunhilde; serotype=1
D-da37a597c539	canonical_reference_confirmation	D00625	D00625	canonical_reference	TRUE	AY082676 is VP1-only		Mike	canonical_reference_confirmed.csv	active			reference_label=W2; serotype=2
D-9ddbb540f170	canonical_reference_confirmation	K01392	K01392	canonical_reference	TRUE	others non-canonical		Mike	canonical_reference_confirmed.csv	active			reference_label=Leon37; serotype=3
D-853c06f1f6d5	canonical_reference_confirmation	KP793687	KP793687	canonical_reference	TRUE	type 1 partially-attenuated poliovirus developed in 1952 by J.F. Enders from serial in vitro passaging of the Brunhilde strain; displays partial neuroattenuation in monkeys (PMID:26018960); 31nt/0.42% from Brunhilde (AY560657) full-genome — the passage divergence; mislabeled Enterovirus C in GenBank; recovered via B-Seq discordance queue		Mike	canonical_reference_confirmed.csv	active			reference_label=Brunenders; serotype=1
D-a68dd44092db	canonical_reference_confirmation	KU866422	KU866422	canonical_reference	TRUE	whole-genome CDC reference; AY082689 et al non-canonical		Mike	canonical_reference_confirmed.csv	active			reference_label=Mahoney; serotype=1
D-eacb253465af	canonical_reference_confirmation	L23844	L23844	canonical_reference	TRUE	L23845-48/AY082685 non-canonical		Mike	canonical_reference_confirmed.csv	active			reference_label=Saukett; serotype=3
D-a43e14da6a9b	canonical_reference_confirmation	Lansing		canonical_reference_available	FALSE	no canonical — M12197 'Lansing' is actually MEF-1 (BLAST-confirmed)		Mike	canonical_reference_confirmed.csv	active			reference_label=Lansing; serotype=2
D-9b532431747f	carve_exclusion	AH004344	AH004344	carve_excluded	TRUE	messy third-party assembly artifact; annotated CDS frame is off-by-one (codon_start should be 2, not 1), producing an unreliable/misleading capsid AA distance (shipped 71.875% over only 32 low-confidence codons); not a genuine recombinant (recombinant_junction blank)		Mike	carve_exclusions_confirmed.csv	active			Old AH-prefix junction-sequence assembly (capsid/protease VP1/2A junction, 330 nt). Whole-sequence nt identity ~38% to all three Sabins: a small real polio coding fragment embedded in otherwise non-homologous assembly sequence (BS0a CIGAR carried a 104X run + a 1906D gap). Frame-corrected translation is ~100% aa identity over ~36 codons vs the Sabin3 polyprotein (6.7% over 15 codons under ref-frame inference) -- it IS poliovirus by name+capsid, but the record is too low-quality to ship. Excluded from the vouched shipped carve; retained in the working curated CSV for audit. dataset_partition stays poliovirus (membership is name-driven, PL1). Disposition 2026-07-22 (metadata_review_decisions.md).
D-9b7bd88b994b	date_override	AY308802	AY308802	collection_year_curated	1953	WPV2 USA 1953 (Mike).	Mike	Mike	date_review_overrides.csv	active			
D-dc23da83c1c3	date_override	K01392	K01392	collection_year_curated	1937	Canonical P3/Leon/37 = 1937 (well-known Leon strain).	Leon strain literature	Mike	date_review_overrides.csv	active			
